Time,PolygonId,Area
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-25,LTAuNzk2NSw0NS44MjU0,0.9
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-15,LTEuMTU4OCw0My42NjQ1,170.13
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-15,LTEuMTU4OCw0My42NjQ1,170.13
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
2019-02-19,LTEuNzQ1OSw0NS44Mzk3,1.37
